host,cve_id,severity,window,phase,pub_window_num,exploit_window_num,patch_window_num,danger_span,patched_in_sim
h20,CVE-2020-27239,CRITICAL,T2,PATCHED,1,1,2,1,True
h20,CVE-2020-27239,CRITICAL,T3,PATCHED,1,1,2,1,True
h20,CVE-2020-27239,CRITICAL,T4,PATCHED,1,1,2,1,True
h21,CVE-2020-12624,CRITICAL,T1,EXPLOIT_AVAILABLE,1,1,3,2,True
h21,CVE-2020-12624,CRITICAL,T2,EXPLOIT_AVAILABLE,1,1,3,2,True
h21,CVE-2020-12624,CRITICAL,T3,PATCHED,1,1,3,2,True
h21,CVE-2020-12624,CRITICAL,T4,PATCHED,1,1,3,2,True
h21,CVE-2021-20294,HIGH,T1,PUBLISHED,0,2,4,2,True
h21,CVE-2021-20294,HIGH,T2,EXPLOIT_AVAILABLE,0,2,4,2,True
h21,CVE-2021-20294,HIGH,T3,EXPLOIT_AVAILABLE,0,2,4,2,True
h21,CVE-2021-20294,HIGH,T4,PATCHED,0,2,4,2,True
h22,CVE-2021-44512,HIGH,T1,EXPLOIT_AVAILABLE,0,0,3,2,True
h22,CVE-2021-44512,HIGH,T2,EXPLOIT_AVAILABLE,0,0,3,2,True
h22,CVE-2021-44512,HIGH,T3,PATCHED,0,0,3,2,True
h22,CVE-2021-44512,HIGH,T4,PATCHED,0,0,3,2,True
h22,CVE-2021-23879,HIGH,T1,UNPUBLISHED,2,4,7,1,False
h22,CVE-2021-23879,HIGH,T2,PUBLISHED,2,4,7,1,False
h22,CVE-2021-23879,HIGH,T3,PUBLISHED,2,4,7,1,False
h22,CVE-2021-23879,HIGH,T4,EXPLOIT_AVAILABLE,2,4,7,1,False
h23,CVE-2019-0604,CRITICAL,T1,EXPLOIT_AVAILABLE,0,0,2,1,True
h23,CVE-2019-0604,CRITICAL,T2,PATCHED,0,0,2,1,True
h23,CVE-2019-0604,CRITICAL,T3,PATCHED,0,0,2,1,True
h23,CVE-2019-0604,CRITICAL,T4,PATCHED,0,0,2,1,True
h24,CVE-2021-24497,MEDIUM,T1,UNPUBLISHED,2,4,8,1,False
h24,CVE-2021-24497,MEDIUM,T2,PUBLISHED,2,4,8,1,False
h24,CVE-2021-24497,MEDIUM,T3,PUBLISHED,2,4,8,1,False
h24,CVE-2021-24497,MEDIUM,T4,EXPLOIT_AVAILABLE,2,4,8,1,False
h24,CVE-2021-1234,MEDIUM,T1,PUBLISHED,1,3,7,2,False
h24,CVE-2021-1234,MEDIUM,T2,PUBLISHED,1,3,7,2,False
h24,CVE-2021-1234,MEDIUM,T3,EXPLOIT_AVAILABLE,1,3,7,2,False
h24,CVE-2021-1234,MEDIUM,T4,EXPLOIT_AVAILABLE,1,3,7,2,False
h25,CVE-2021-24515,HIGH,T1,UNPUBLISHED,2,2,4,2,True
h25,CVE-2021-24515,HIGH,T2,EXPLOIT_AVAILABLE,2,2,4,2,True
h25,CVE-2021-24515,HIGH,T3,EXPLOIT_AVAILABLE,2,2,4,2,True
h25,CVE-2021-24515,HIGH,T4,PATCHED,2,2,4,2,True
h25,CVE-2021-20225,CRITICAL,T1,PATCHED,0,0,1,0,True
h25,CVE-2021-20225,CRITICAL,T2,PATCHED,0,0,1,0,True
h25,CVE-2021-20225,CRITICAL,T3,PATCHED,0,0,1,0,True
h25,CVE-2021-20225,CRITICAL,T4,PATCHED,0,0,1,0,True
h26,CVE-2020-7960,HIGH,T1,PUBLISHED,1,2,4,2,True
h26,CVE-2020-7960,HIGH,T2,EXPLOIT_AVAILABLE,1,2,4,2,True
h26,CVE-2020-7960,HIGH,T3,EXPLOIT_AVAILABLE,1,2,4,2,True
h26,CVE-2020-7960,HIGH,T4,PATCHED,1,2,4,2,True
h27,CVE-2020-7961,HIGH,T1,UNPUBLISHED,2,4,6,1,False
h27,CVE-2020-7961,HIGH,T2,PUBLISHED,2,4,6,1,False
h27,CVE-2020-7961,HIGH,T3,PUBLISHED,2,4,6,1,False
h27,CVE-2020-7961,HIGH,T4,EXPLOIT_AVAILABLE,2,4,6,1,False
h28,CVE-2020-11084,HIGH,T1,PUBLISHED,1,3,6,2,False
h28,CVE-2020-11084,HIGH,T2,PUBLISHED,1,3,6,2,False
h28,CVE-2020-11084,HIGH,T3,EXPLOIT_AVAILABLE,1,3,6,2,False
h28,CVE-2020-11084,HIGH,T4,EXPLOIT_AVAILABLE,1,3,6,2,False
h29,CVE-2020-27238,HIGH,T1,PUBLISHED,1,2,5,3,False
h29,CVE-2020-27238,HIGH,T2,EXPLOIT_AVAILABLE,1,2,5,3,False
h29,CVE-2020-27238,HIGH,T3,EXPLOIT_AVAILABLE,1,2,5,3,False
h29,CVE-2020-27238,HIGH,T4,EXPLOIT_AVAILABLE,1,2,5,3,False
h3,CVE-2020-16899,HIGH,T1,PUBLISHED,0,2,5,3,False
h3,CVE-2020-16899,HIGH,T2,EXPLOIT_AVAILABLE,0,2,5,3,False
h3,CVE-2020-16899,HIGH,T3,EXPLOIT_AVAILABLE,0,2,5,3,False
h3,CVE-2020-16899,HIGH,T4,EXPLOIT_AVAILABLE,0,2,5,3,False
h3,CVE-2020-16893,MEDIUM,T1,UNPUBLISHED,3,4,7,1,False
h3,CVE-2020-16893,MEDIUM,T2,UNPUBLISHED,3,4,7,1,False
h3,CVE-2020-16893,MEDIUM,T3,PUBLISHED,3,4,7,1,False
h3,CVE-2020-16893,MEDIUM,T4,EXPLOIT_AVAILABLE,3,4,7,1,False
h30,CVE-2021-33910,CRITICAL,T1,EXPLOIT_AVAILABLE,1,1,3,2,True
h30,CVE-2021-33910,CRITICAL,T2,EXPLOIT_AVAILABLE,1,1,3,2,True
h30,CVE-2021-33910,CRITICAL,T3,PATCHED,1,1,3,2,True
h30,CVE-2021-33910,CRITICAL,T4,PATCHED,1,1,3,2,True
h30,CVE-2021-30609,CRITICAL,T1,PUBLISHED,1,2,3,1,True
h30,CVE-2021-30609,CRITICAL,T2,EXPLOIT_AVAILABLE,1,2,3,1,True
h30,CVE-2021-30609,CRITICAL,T3,PATCHED,1,2,3,1,True
h30,CVE-2021-30609,CRITICAL,T4,PATCHED,1,2,3,1,True
h31,CVE-2020-1234,HIGH,T1,EXPLOIT_AVAILABLE,0,1,4,3,True
h31,CVE-2020-1234,HIGH,T2,EXPLOIT_AVAILABLE,0,1,4,3,True
h31,CVE-2020-1234,HIGH,T3,EXPLOIT_AVAILABLE,0,1,4,3,True
h31,CVE-2020-1234,HIGH,T4,PATCHED,0,1,4,3,True
h31,CVE-2021-21224,HIGH,T1,EXPLOIT_AVAILABLE,1,1,3,2,True
h31,CVE-2021-21224,HIGH,T2,EXPLOIT_AVAILABLE,1,1,3,2,True
h31,CVE-2021-21224,HIGH,T3,PATCHED,1,1,3,2,True
h31,CVE-2021-21224,HIGH,T4,PATCHED,1,1,3,2,True
h32,CVE-2020-8555,HIGH,T1,UNPUBLISHED,2,3,6,2,False
h32,CVE-2020-8555,HIGH,T2,PUBLISHED,2,3,6,2,False
h32,CVE-2020-8555,HIGH,T3,EXPLOIT_AVAILABLE,2,3,6,2,False
h32,CVE-2020-8555,HIGH,T4,EXPLOIT_AVAILABLE,2,3,6,2,False
h33,CVE-2021-32074,CRITICAL,T1,PUBLISHED,1,2,3,1,True
h33,CVE-2021-32074,CRITICAL,T2,EXPLOIT_AVAILABLE,1,2,3,1,True
h33,CVE-2021-32074,CRITICAL,T3,PATCHED,1,2,3,1,True
h33,CVE-2021-32074,CRITICAL,T4,PATCHED,1,2,3,1,True
h34,CVE-2021-3129,HIGH,T1,UNPUBLISHED,2,4,7,1,False
h34,CVE-2021-3129,HIGH,T2,PUBLISHED,2,4,7,1,False
h34,CVE-2021-3129,HIGH,T3,PUBLISHED,2,4,7,1,False
h34,CVE-2021-3129,HIGH,T4,EXPLOIT_AVAILABLE,2,4,7,1,False
h34,CVE-2021-23214,HIGH,T1,EXPLOIT_AVAILABLE,0,0,3,2,True
h34,CVE-2021-23214,HIGH,T2,EXPLOIT_AVAILABLE,0,0,3,2,True
h34,CVE-2021-23214,HIGH,T3,PATCHED,0,0,3,2,True
h34,CVE-2021-23214,HIGH,T4,PATCHED,0,0,3,2,True
h35,CVE-2021-24515,HIGH,T1,PUBLISHED,0,2,5,3,False
h35,CVE-2021-24515,HIGH,T2,EXPLOIT_AVAILABLE,0,2,5,3,False
h35,CVE-2021-24515,HIGH,T3,EXPLOIT_AVAILABLE,0,2,5,3,False
h35,CVE-2021-24515,HIGH,T4,EXPLOIT_AVAILABLE,0,2,5,3,False
h35,CVE-2020-8558,HIGH,T1,UNPUBLISHED,2,2,5,3,False
h35,CVE-2020-8558,HIGH,T2,EXPLOIT_AVAILABLE,2,2,5,3,False
h35,CVE-2020-8558,HIGH,T3,EXPLOIT_AVAILABLE,2,2,5,3,False
h35,CVE-2020-8558,HIGH,T4,EXPLOIT_AVAILABLE,2,2,5,3,False
h4,CVE-2020-1470,CRITICAL,T1,PUBLISHED,1,2,3,1,True
h4,CVE-2020-1470,CRITICAL,T2,EXPLOIT_AVAILABLE,1,2,3,1,True
h4,CVE-2020-1470,CRITICAL,T3,PATCHED,1,2,3,1,True
h4,CVE-2020-1470,CRITICAL,T4,PATCHED,1,2,3,1,True
h4,CVE-2021-34483,MEDIUM,T1,UNPUBLISHED,3,4,7,1,False
h4,CVE-2021-34483,MEDIUM,T2,UNPUBLISHED,3,4,7,1,False
h4,CVE-2021-34483,MEDIUM,T3,PUBLISHED,3,4,7,1,False
h4,CVE-2021-34483,MEDIUM,T4,EXPLOIT_AVAILABLE,3,4,7,1,False
h5,CVE-2020-27238,HIGH,T1,EXPLOIT_AVAILABLE,0,0,2,1,True
h5,CVE-2020-27238,HIGH,T2,PATCHED,0,0,2,1,True
h5,CVE-2020-27238,HIGH,T3,PATCHED,0,0,2,1,True
h5,CVE-2020-27238,HIGH,T4,PATCHED,0,0,2,1,True
h6,CVE-2021-22569,HIGH,T1,UNPUBLISHED,2,4,6,1,False
h6,CVE-2021-22569,HIGH,T2,PUBLISHED,2,4,6,1,False
h6,CVE-2021-22569,HIGH,T3,PUBLISHED,2,4,6,1,False
h6,CVE-2021-22569,HIGH,T4,EXPLOIT_AVAILABLE,2,4,6,1,False
h7,CVE-2020-15999,HIGH,T1,EXPLOIT_AVAILABLE,0,1,3,2,True
h7,CVE-2020-15999,HIGH,T2,EXPLOIT_AVAILABLE,0,1,3,2,True
h7,CVE-2020-15999,HIGH,T3,PATCHED,0,1,3,2,True
h7,CVE-2020-15999,HIGH,T4,PATCHED,0,1,3,2,True
h8,CVE-2020-5411,HIGH,T1,UNPUBLISHED,2,2,5,3,False
h8,CVE-2020-5411,HIGH,T2,EXPLOIT_AVAILABLE,2,2,5,3,False
h8,CVE-2020-5411,HIGH,T3,EXPLOIT_AVAILABLE,2,2,5,3,False
h8,CVE-2020-5411,HIGH,T4,EXPLOIT_AVAILABLE,2,2,5,3,False
h8,CVE-2021-30130,HIGH,T1,PUBLISHED,0,2,5,3,False
h8,CVE-2021-30130,HIGH,T2,EXPLOIT_AVAILABLE,0,2,5,3,False
h8,CVE-2021-30130,HIGH,T3,EXPLOIT_AVAILABLE,0,2,5,3,False
h8,CVE-2021-30130,HIGH,T4,EXPLOIT_AVAILABLE,0,2,5,3,False
h9,CVE-2021-23214,HIGH,T1,UNPUBLISHED,2,4,6,1,False
h9,CVE-2021-23214,HIGH,T2,PUBLISHED,2,4,6,1,False
h9,CVE-2021-23214,HIGH,T3,PUBLISHED,2,4,6,1,False
h9,CVE-2021-23214,HIGH,T4,EXPLOIT_AVAILABLE,2,4,6,1,False
h9,CVE-2020-8517,CRITICAL,T1,PATCHED,0,0,1,0,True
h9,CVE-2020-8517,CRITICAL,T2,PATCHED,0,0,1,0,True
h9,CVE-2020-8517,CRITICAL,T3,PATCHED,0,0,1,0,True
h9,CVE-2020-8517,CRITICAL,T4,PATCHED,0,0,1,0,True
