dest_host,severity,cve_id,time_window,cvss_only_score,structural_triage_score,cvss_rank,sts_rank,rank_delta,c_severity,c_betweenness,c_path_critical,c_persistence,c_blind_spot
h2,HIGH,CVE-2021-26858,T4,0.75,0.5549,58,59,-1,0.75,0.07,1.0,1.0,0.0
h71,LOW,CVE-2020-16899,T4,0.25,0.4137,239,230,9,0.25,0.005,1.0,1.0,0.0
h43,HIGH,CVE-2021-1234,T4,0.75,0.5066,58,109,-51,0.75,0.026,1.0,0.75,0.0
h21,HIGH,CVE-2020-11989,T4,0.75,0.7069,58,3,55,0.75,0.978,1.0,0.5,0.0
h96,HIGH,CVE-2021-37582,T4,0.75,0.4625,58,175,-117,0.75,0.0,1.0,0.5,0.0
h21,MEDIUM,CVE-2020-11989,T4,0.5,0.6444,181,10,171,0.5,0.978,1.0,0.5,0.0
h2,MEDIUM,CVE-2020-16000,T4,0.5,0.4924,181,142,39,0.5,0.07,1.0,1.0,0.0
h9,HIGH,CVE-2021-28169,T4,0.75,0.4761,58,165,-107,0.75,0.054,1.0,0.5,0.0
h37,CRITICAL,CVE-2021-3130,T4,1.0,0.6055,1,19,-18,1.0,0.022,1.0,1.0,0.0
h49,HIGH,CVE-2020-16898,T3,0.75,0.5375,58,89,-31,0.75,0.0,1.0,1.0,0.0
h37,HIGH,CVE-2021-3130,T3,0.75,0.543,58,71,-13,0.75,0.022,1.0,1.0,0.0
h20,MEDIUM,CVE-2021-23841,T3,0.5,0.515,181,105,76,0.5,0.31,1.0,0.75,0.0
h10,HIGH,CVE-2021-1234,T3,0.75,0.4827,58,155,-97,0.75,0.081,1.0,0.5,0.0
h89,CRITICAL,CVE-2021-44228,T3,1.0,0.606,1,18,-17,1.0,0.024,1.0,1.0,0.0
h53,MEDIUM,CVE-2020-12624,T3,0.5,0.4,181,236,-55,0.5,0.0,1.0,0.5,0.0
h37,LOW,CVE-2021-3130,T3,0.25,0.418,239,228,11,0.25,0.022,1.0,1.0,0.0
h20,HIGH,CVE-2021-23841,T3,0.75,0.5775,58,37,21,0.75,0.31,1.0,0.75,0.0
h37,HIGH,CVE-2021-3130,T3,0.75,0.543,58,71,-13,0.75,0.022,1.0,1.0,0.0
h20,HIGH,CVE-2021-23841,T3,0.75,0.5775,58,37,21,0.75,0.31,1.0,0.75,0.0
h10,LOW,CVE-2021-28851,T3,0.25,0.3577,239,256,-17,0.25,0.081,1.0,0.5,0.0
h37,MEDIUM,CVE-2021-3130,T3,0.5,0.4805,181,157,24,0.5,0.022,1.0,1.0,0.0
h20,LOW,CVE-2021-23841,T3,0.25,0.4525,239,188,51,0.25,0.31,1.0,0.75,0.0
h10,MEDIUM,CVE-2021-28851,T3,0.5,0.4202,181,227,-46,0.5,0.081,1.0,0.5,0.0
h71,HIGH,CVE-2020-16899,T4,0.75,0.5387,58,80,-22,0.75,0.005,1.0,1.0,0.0
h92,CRITICAL,CVE-2021-26851,T1,1.0,0.5625,1,46,-45,1.0,0.0,1.0,0.75,0.0
h17,CRITICAL,CVE-2021-26852,T2,1.0,0.601,1,24,-23,1.0,0.304,1.0,0.5,0.0
h95,CRITICAL,CVE-2021-27065,T2,1.0,0.4877,1,151,-150,1.0,0.001,1.0,0.25,0.0
h37,HIGH,CVE-2021-3130,T2,0.75,0.543,58,71,-13,0.75,0.022,1.0,1.0,0.0
h19,MEDIUM,CVE-2020-5411,T2,0.5,0.4803,181,163,18,0.5,0.321,1.0,0.5,0.0
h92,HIGH,CVE-2021-26851,T2,0.75,0.5,58,115,-57,0.75,0.0,1.0,0.75,0.0
h46,CRITICAL,CVE-2021-3129,T1,1.0,0.5625,1,46,-45,1.0,0.0,1.0,0.75,0.0
h5,LOW,CVE-2020-27239,T1,0.25,0.3945,239,241,-2,0.25,0.078,1.0,0.75,0.0
h13,HIGH,CVE-2021-30129,T1,0.75,0.4273,58,208,-150,0.75,0.009,1.0,0.25,0.0
h21,CRITICAL,CVE-2020-11989,T4,1.0,0.7694,1,1,0,1.0,0.978,1.0,0.5,0.0
h65,MEDIUM,CVE-2021-28851,T4,0.5,0.4965,181,137,44,0.5,0.086,1.0,1.0,0.0
h49,LOW,CVE-2020-8554,T3,0.25,0.4125,239,232,7,0.25,0.0,1.0,1.0,0.0
h49,MEDIUM,CVE-2020-16898,T3,0.5,0.475,181,170,11,0.5,0.0,1.0,1.0,0.0
h5,HIGH,CVE-2020-27239,T1,0.75,0.5195,58,101,-43,0.75,0.078,1.0,0.75,0.0
h54,MEDIUM,CVE-2020-16899,T1,0.5,0.476,181,168,13,0.5,0.154,1.0,0.75,0.0
h3,HIGH,CVE-2021-20225,T1,0.75,0.4257,58,210,-152,0.75,0.003,1.0,0.25,0.0
h63,HIGH,CVE-2020-11990,T1,0.75,0.5389,58,77,-19,0.75,0.006,1.0,1.0,0.0
h46,HIGH,CVE-2021-3129,T1,0.75,0.5,58,115,-57,0.75,0.0,1.0,0.75,0.0
h65,MEDIUM,CVE-2021-28851,T4,0.5,0.4965,181,137,44,0.5,0.086,1.0,1.0,0.0
h49,HIGH,CVE-2020-8554,T3,0.75,0.5375,58,89,-31,0.75,0.0,1.0,1.0,0.0
h65,HIGH,CVE-2021-28851,T4,0.75,0.559,58,56,2,0.75,0.086,1.0,1.0,0.0
h14,CRITICAL,CVE-2021-27065,T2,1.0,0.4935,1,140,-139,1.0,0.024,1.0,0.25,0.0
h49,CRITICAL,CVE-2020-8554,T3,1.0,0.6,1,27,-26,1.0,0.0,1.0,1.0,0.0
h43,CRITICAL,CVE-2021-1234,T4,1.0,0.5691,1,44,-43,1.0,0.026,1.0,0.75,0.0
h26,CRITICAL,CVE-2020-15505,T4,1.0,0.6641,1,9,-8,1.0,0.257,1.0,1.0,0.0
h90,HIGH,CVE-2021-23841,T4,0.75,0.5488,58,65,-7,0.75,0.045,1.0,1.0,0.0
h70,HIGH,CVE-2020-15999,T1,0.75,0.425,58,219,-161,0.75,0.0,1.0,0.25,0.0
h2,HIGH,CVE-2020-16000,T4,0.75,0.5549,58,59,-1,0.75,0.07,1.0,1.0,0.0
h85,MEDIUM,CVE-2021-28850,T4,0.5,0.4375,181,198,-17,0.5,0.0,1.0,0.75,0.0
h65,HIGH,CVE-2021-28851,T4,0.75,0.559,58,56,2,0.75,0.086,1.0,1.0,0.0
h3,HIGH,CVE-2021-32075,T1,0.75,0.4257,58,210,-152,0.75,0.003,1.0,0.25,0.0
h77,MEDIUM,CVE-2020-8558,T1,0.5,0.4,181,236,-55,0.5,0.0,1.0,0.5,0.0
h21,HIGH,CVE-2020-11989,T4,0.75,0.7069,58,3,55,0.75,0.978,1.0,0.5,0.0
h50,HIGH,CVE-2021-24515,T4,0.75,0.4625,58,175,-117,0.75,0.0,1.0,0.5,0.0
h9,HIGH,CVE-2021-28169,T2,0.75,0.4761,58,165,-107,0.75,0.054,1.0,0.5,0.0
h37,HIGH,CVE-2021-3130,T2,0.75,0.543,58,71,-13,0.75,0.022,1.0,1.0,0.0
h2,CRITICAL,CVE-2021-26858,T4,1.0,0.6174,1,14,-13,1.0,0.07,1.0,1.0,0.0
h31,CRITICAL,CVE-2021-3129,T4,1.0,0.5815,1,35,-34,1.0,0.076,1.0,0.75,0.0
h5,HIGH,CVE-2020-7961,T1,0.75,0.5195,58,101,-43,0.75,0.078,1.0,0.75,0.0
h54,HIGH,CVE-2020-16899,T1,0.75,0.5385,58,83,-25,0.75,0.154,1.0,0.75,0.0
h3,CRITICAL,CVE-2021-32075,T1,1.0,0.4882,1,148,-147,1.0,0.003,1.0,0.25,0.0
h61,MEDIUM,CVE-2020-16898,T1,0.5,0.4883,181,147,34,0.5,0.053,1.0,1.0,0.0
h13,CRITICAL,CVE-2021-30129,T1,1.0,0.4898,1,143,-142,1.0,0.009,1.0,0.25,0.0
h16,HIGH,CVE-2021-28851,T1,0.75,0.427,58,209,-151,0.75,0.008,1.0,0.25,0.0
h17,HIGH,CVE-2021-26852,T1,0.75,0.5385,58,83,-25,0.75,0.304,1.0,0.5,0.0
h46,CRITICAL,CVE-2021-3129,T1,1.0,0.5625,1,46,-45,1.0,0.0,1.0,0.75,0.0
h46,CRITICAL,CVE-2021-3129,T1,1.0,0.5625,1,46,-45,1.0,0.0,1.0,0.75,0.0
h70,LOW,CVE-2020-15999,T1,0.25,0.3,239,260,-21,0.25,0.0,1.0,0.25,0.0
h92,MEDIUM,CVE-2021-26851,T1,0.5,0.4375,181,198,-17,0.5,0.0,1.0,0.75,0.0
h92,HIGH,CVE-2021-26851,T1,0.75,0.5,58,115,-57,0.75,0.0,1.0,0.75,0.0
h92,LOW,CVE-2021-26851,T1,0.25,0.375,239,243,-4,0.25,0.0,1.0,0.75,0.0
h46,HIGH,CVE-2021-3129,T1,0.75,0.5,58,115,-57,0.75,0.0,1.0,0.75,0.0
h26,HIGH,CVE-2020-8558,T2,0.75,0.6016,58,22,36,0.75,0.257,1.0,1.0,0.0
h5,LOW,CVE-2020-27239,T2,0.25,0.3945,239,241,-2,0.25,0.078,1.0,0.75,0.0
h17,HIGH,CVE-2020-25695,T2,0.75,0.5385,58,83,-25,0.75,0.304,1.0,0.5,0.0
h89,HIGH,CVE-2021-44228,T2,0.75,0.5435,58,69,-11,0.75,0.024,1.0,1.0,0.0
h3,HIGH,CVE-2021-32075,T1,0.75,0.4257,58,210,-152,0.75,0.003,1.0,0.25,0.0
h46,MEDIUM,CVE-2021-3129,T1,0.5,0.4375,181,198,-17,0.5,0.0,1.0,0.75,0.0
h98,CRITICAL,CVE-2021-26851,T3,1.0,0.5625,1,46,-45,1.0,0.0,1.0,0.75,0.0
h70,LOW,CVE-2020-14144,T1,0.25,0.3,239,260,-21,0.25,0.0,1.0,0.25,0.0
h98,HIGH,CVE-2021-26851,T3,0.75,0.5,58,115,-57,0.75,0.0,1.0,0.75,0.0
h92,HIGH,CVE-2021-26851,T1,0.75,0.5,58,115,-57,0.75,0.0,1.0,0.75,0.0
h21,CRITICAL,CVE-2020-11989,T4,1.0,0.7694,1,1,0,1.0,0.978,1.0,0.5,0.0
h38,HIGH,CVE-2021-28341,T4,0.75,0.5,58,115,-57,0.75,0.0,1.0,0.75,0.0
h33,HIGH,CVE-2021-23841,T4,0.75,0.5,58,115,-57,0.75,0.0,1.0,0.75,0.0
h3,HIGH,CVE-2021-32075,T1,0.75,0.4257,58,210,-152,0.75,0.003,1.0,0.25,0.0
h83,LOW,CVE-2021-23214,T1,0.25,0.375,239,243,-4,0.25,0.0,1.0,0.75,0.0
h92,LOW,CVE-2021-26851,T1,0.25,0.375,239,243,-4,0.25,0.0,1.0,0.75,0.0
h89,HIGH,CVE-2021-24512,T3,0.75,0.5435,58,69,-11,0.75,0.024,1.0,1.0,0.0
h3,HIGH,CVE-2021-20225,T1,0.75,0.4257,58,210,-152,0.75,0.003,1.0,0.25,0.0
h77,HIGH,CVE-2020-8558,T1,0.75,0.4625,58,175,-117,0.75,0.0,1.0,0.5,0.0
h98,HIGH,CVE-2021-30132,T3,0.75,0.5,58,115,-57,0.75,0.0,1.0,0.75,0.0
h98,LOW,CVE-2021-30132,T3,0.25,0.375,239,243,-4,0.25,0.0,1.0,0.75,0.0
h70,HIGH,CVE-2020-14144,T1,0.75,0.425,58,219,-161,0.75,0.0,1.0,0.25,0.0
h98,CRITICAL,CVE-2021-26851,T3,1.0,0.5625,1,46,-45,1.0,0.0,1.0,0.75,0.0
h5,CRITICAL,CVE-2020-7961,T1,1.0,0.582,1,30,-29,1.0,0.078,1.0,0.75,0.0
h54,HIGH,CVE-2020-16899,T1,0.75,0.5385,58,83,-25,0.75,0.154,1.0,0.75,0.0
h3,MEDIUM,CVE-2021-20225,T1,0.5,0.3632,181,250,-69,0.5,0.003,1.0,0.25,0.0
h37,MEDIUM,CVE-2021-3130,T1,0.5,0.4805,181,157,24,0.5,0.022,1.0,1.0,0.0
h70,MEDIUM,CVE-2020-15999,T1,0.5,0.3625,181,252,-71,0.5,0.0,1.0,0.25,0.0
h3,HIGH,CVE-2021-32075,T1,0.75,0.4257,58,210,-152,0.75,0.003,1.0,0.25,0.0
h37,CRITICAL,CVE-2021-3130,T1,1.0,0.6055,1,19,-18,1.0,0.022,1.0,1.0,0.0
h5,HIGH,CVE-2020-27239,T1,0.75,0.5195,58,101,-43,0.75,0.078,1.0,0.75,0.0
h70,CRITICAL,CVE-2020-14144,T1,1.0,0.4875,1,152,-151,1.0,0.0,1.0,0.25,0.0
h21,HIGH,CVE-2020-11989,T4,0.75,0.7069,58,3,55,0.75,0.978,1.0,0.5,0.0
h96,MEDIUM,CVE-2021-37582,T4,0.5,0.4,181,236,-55,0.5,0.0,1.0,0.5,0.0
h65,CRITICAL,CVE-2021-28851,T4,1.0,0.6215,1,13,-12,1.0,0.086,1.0,1.0,0.0
h92,HIGH,CVE-2021-26851,T1,0.75,0.5,58,115,-57,0.75,0.0,1.0,0.75,0.0
h60,HIGH,CVE-2021-24514,T3,0.75,0.5705,58,42,16,0.75,0.132,1.0,1.0,0.0
h21,MEDIUM,CVE-2020-11989,T4,0.5,0.6444,181,10,171,0.5,0.978,1.0,0.5,0.0
h50,HIGH,CVE-2021-24515,T4,0.75,0.4625,58,175,-117,0.75,0.0,1.0,0.5,0.0
h70,HIGH,CVE-2020-15999,T1,0.75,0.425,58,219,-161,0.75,0.0,1.0,0.25,0.0
h92,HIGH,CVE-2021-26851,T1,0.75,0.5,58,115,-57,0.75,0.0,1.0,0.75,0.0
h71,HIGH,CVE-2020-16899,T4,0.75,0.5387,58,80,-22,0.75,0.005,1.0,1.0,0.0
h33,MEDIUM,CVE-2021-23841,T4,0.5,0.4375,181,198,-17,0.5,0.0,1.0,0.75,0.0
h31,MEDIUM,CVE-2020-27238,T2,0.5,0.4565,181,187,-6,0.5,0.076,1.0,0.75,0.0
h85,HIGH,CVE-2021-28850,T2,0.75,0.5,58,115,-57,0.75,0.0,1.0,0.75,0.0
h8,CRITICAL,CVE-2021-22557,T1,1.0,0.5468,1,68,-67,1.0,0.087,1.0,0.5,0.0
h60,HIGH,CVE-2021-24514,T1,0.75,0.5705,58,42,16,0.75,0.132,1.0,1.0,0.0
h88,HIGH,CVE-2020-14145,T4,0.75,0.4635,58,173,-115,0.75,0.004,1.0,0.5,0.0
h54,HIGH,CVE-2020-16899,T2,0.75,0.5385,58,83,-25,0.75,0.154,1.0,0.75,0.0
h7,HIGH,CVE-2021-44512,T2,0.75,0.435,58,206,-148,0.75,0.04,1.0,0.25,0.0
h100,HIGH,CVE-2021-32075,T2,0.75,0.4625,58,175,-117,0.75,0.0,1.0,0.5,0.0
h57,HIGH,CVE-2021-24410,T1,0.75,0.425,58,219,-161,0.75,0.0,1.0,0.25,0.0
h63,HIGH,CVE-2021-26858,T3,0.75,0.5389,58,77,-19,0.75,0.006,1.0,1.0,0.0
h90,HIGH,CVE-2021-23841,T1,0.75,0.5488,58,65,-7,0.75,0.045,1.0,1.0,0.0
h30,HIGH,CVE-2021-26851,T2,0.75,0.5356,58,95,-37,0.75,0.293,1.0,0.5,0.0
h17,CRITICAL,CVE-2021-26852,T1,1.0,0.601,1,24,-23,1.0,0.304,1.0,0.5,0.0
h58,HIGH,CVE-2020-25696,T2,0.75,0.425,58,219,-161,0.75,0.0,1.0,0.25,0.0
h53,HIGH,CVE-2020-12624,T3,0.75,0.4625,58,175,-117,0.75,0.0,1.0,0.5,0.0
h49,CRITICAL,CVE-2020-8554,T4,1.0,0.6,1,27,-26,1.0,0.0,1.0,1.0,0.0
h49,MEDIUM,CVE-2020-8554,T3,0.5,0.475,181,170,11,0.5,0.0,1.0,1.0,0.0
h62,HIGH,CVE-2021-27068,T2,0.75,0.4625,58,175,-117,0.75,0.0,1.0,0.5,0.0
h18,MEDIUM,CVE-2021-28149,T1,0.5,0.4095,181,233,-52,0.5,0.038,1.0,0.5,0.0
h18,MEDIUM,CVE-2021-28149,T1,0.5,0.4095,181,233,-52,0.5,0.038,1.0,0.5,0.0
h39,MEDIUM,CVE-2021-24410,T1,0.5,0.3625,181,252,-71,0.5,0.0,1.0,0.25,0.0
h28,HIGH,CVE-2021-28169,T1,0.75,0.4255,58,218,-160,0.75,0.002,1.0,0.25,0.0
h12,HIGH,CVE-2020-25695,T1,0.75,0.4885,58,146,-88,0.75,0.104,1.0,0.5,0.0
h63,HIGH,CVE-2021-26858,T3,0.75,0.5389,58,77,-19,0.75,0.006,1.0,1.0,0.0
h1,HIGH,CVE-2021-20294,T3,0.75,0.5025,58,112,-54,0.75,0.01,1.0,0.75,0.0
h1,MEDIUM,CVE-2021-20294,T2,0.5,0.44,181,194,-13,0.5,0.01,1.0,0.75,0.0
h96,CRITICAL,CVE-2021-37582,T4,1.0,0.525,1,97,-96,1.0,0.0,1.0,0.5,0.0
h9,MEDIUM,CVE-2021-24497,T4,0.5,0.4136,181,231,-50,0.5,0.054,1.0,0.5,0.0
h97,MEDIUM,CVE-2020-7960,T4,0.5,0.4485,181,190,-9,0.5,0.044,1.0,0.75,0.0
h90,LOW,CVE-2021-23841,T2,0.25,0.4238,239,225,14,0.25,0.045,1.0,1.0,0.0
h21,HIGH,CVE-2020-11989,T4,0.75,0.7069,58,3,55,0.75,0.978,1.0,0.5,0.0
h43,HIGH,CVE-2021-1234,T4,0.75,0.5066,58,109,-51,0.75,0.026,1.0,0.75,0.0
h90,CRITICAL,CVE-2021-23841,T4,1.0,0.6113,1,16,-15,1.0,0.045,1.0,1.0,0.0
h85,HIGH,CVE-2021-28850,T2,0.75,0.5,58,115,-57,0.75,0.0,1.0,0.75,0.0
h33,HIGH,CVE-2021-23841,T4,0.75,0.5,58,115,-57,0.75,0.0,1.0,0.75,0.0
h37,MEDIUM,CVE-2021-3130,T1,0.5,0.4805,181,157,24,0.5,0.022,1.0,1.0,0.0
h67,MEDIUM,CVE-2021-21233,T1,0.5,0.4382,181,197,-16,0.5,0.003,1.0,0.75,0.0
h29,CRITICAL,CVE-2021-3129,T2,1.0,0.5625,1,46,-45,1.0,0.0,1.0,0.75,0.0
h86,MEDIUM,CVE-2020-9615,T1,0.5,0.4,181,236,-55,0.5,0.0,1.0,0.5,0.0
h20,LOW,CVE-2021-23841,T3,0.25,0.4525,239,188,51,0.25,0.31,1.0,0.75,0.0
h71,HIGH,CVE-2020-16899,T1,0.75,0.5387,58,80,-22,0.75,0.005,1.0,1.0,0.0
h61,HIGH,CVE-2020-16898,T3,0.75,0.5508,58,63,-5,0.75,0.053,1.0,1.0,0.0
h77,CRITICAL,CVE-2020-8558,T2,1.0,0.525,1,97,-96,1.0,0.0,1.0,0.5,0.0
h40,CRITICAL,CVE-2021-27065,T2,1.0,0.53,1,96,-95,1.0,0.02,1.0,0.5,0.0
h29,MEDIUM,CVE-2021-3129,T2,0.5,0.4375,181,198,-17,0.5,0.0,1.0,0.75,0.0
h87,CRITICAL,CVE-2021-30610,T4,1.0,0.5648,1,45,-44,1.0,0.009,1.0,0.75,0.0
h37,MEDIUM,CVE-2021-3130,T4,0.5,0.4805,181,157,24,0.5,0.022,1.0,1.0,0.0
