host,cve_id,severity,pub_window,exploit_window,patch_window,pre_exploit_gap,danger_span_in_sim,patched_in_sim,lifecycle_category,severity_weight,weighted_danger
h47,CVE-2020-16898,CRITICAL,0,0,1,0,0,True,FULL_LIFECYCLE,1.0,0.0
h48,CVE-2020-15505,CRITICAL,0,1,2,0,1,True,FULL_LIFECYCLE,1.0,1.0
h49,CVE-2021-20295,HIGH,1,3,5,2,2,False,EXPLOITED_UNPATCHED,0.75,1.5
h5,CVE-2020-1470,CRITICAL,0,0,2,0,1,True,FULL_LIFECYCLE,1.0,1.0
h50,CVE-2020-15505,CRITICAL,1,1,2,0,1,True,FULL_LIFECYCLE,1.0,1.0
h50,CVE-2021-23840,HIGH,2,4,7,2,1,False,EXPLOITED_UNPATCHED,0.75,0.75
h51,CVE-2021-28149,HIGH,2,2,4,0,2,True,FULL_LIFECYCLE,0.75,1.5
h52,CVE-2020-24615,HIGH,2,3,5,1,2,False,EXPLOITED_UNPATCHED,0.75,1.5
h52,CVE-2021-23841,MEDIUM,1,3,5,2,2,False,EXPLOITED_UNPATCHED,0.5,1.0
h53,CVE-2021-28850,HIGH,0,1,3,0,2,True,FULL_LIFECYCLE,0.75,1.5
h54,CVE-2021-21234,CRITICAL,1,2,4,1,2,True,FULL_LIFECYCLE,1.0,2.0
h55,CVE-2020-25695,HIGH,1,2,4,1,2,True,FULL_LIFECYCLE,0.75,1.5
h55,CVE-2021-3129,HIGH,0,0,3,0,2,True,FULL_LIFECYCLE,0.75,1.5
h56,CVE-2020-1234,HIGH,1,2,5,1,3,False,EXPLOITED_UNPATCHED,0.75,2.25
h57,CVE-2020-11084,HIGH,2,4,7,2,1,False,EXPLOITED_UNPATCHED,0.75,0.75
h57,CVE-2021-44512,HIGH,0,1,4,0,3,True,FULL_LIFECYCLE,0.75,2.25
h58,CVE-2021-28149,HIGH,2,2,4,0,2,True,FULL_LIFECYCLE,0.75,1.5
h59,CVE-2021-28851,HIGH,2,4,6,2,1,False,EXPLOITED_UNPATCHED,0.75,0.75
h6,CVE-2021-21224,HIGH,0,0,2,0,1,True,FULL_LIFECYCLE,0.75,0.75
h6,CVE-2021-27065,CRITICAL,0,1,2,0,1,True,FULL_LIFECYCLE,1.0,1.0
h60,CVE-2020-8517,CRITICAL,0,1,3,0,2,True,FULL_LIFECYCLE,1.0,2.0
h60,CVE-2020-9615,HIGH,0,2,5,1,3,False,EXPLOITED_UNPATCHED,0.75,2.25
h61,CVE-2020-27238,HIGH,0,1,3,0,2,True,FULL_LIFECYCLE,0.75,1.5
h62,CVE-2020-1470,CRITICAL,1,2,3,1,1,True,FULL_LIFECYCLE,1.0,1.0
h63,CVE-2020-5411,HIGH,0,2,4,1,2,True,FULL_LIFECYCLE,0.75,1.5
h64,CVE-2020-24614,HIGH,1,1,4,0,3,True,FULL_LIFECYCLE,0.75,2.25
h64,CVE-2021-26851,CRITICAL,1,2,4,1,2,True,FULL_LIFECYCLE,1.0,2.0
h65,CVE-2020-14144,HIGH,1,1,4,0,3,True,FULL_LIFECYCLE,0.75,2.25
h66,CVE-2020-15999,HIGH,2,3,6,1,2,False,EXPLOITED_UNPATCHED,0.75,1.5
h66,CVE-2021-3130,HIGH,1,1,3,0,2,True,FULL_LIFECYCLE,0.75,1.5
h67,CVE-2020-13778,CRITICAL,0,0,2,0,1,True,FULL_LIFECYCLE,1.0,1.0
h67,CVE-2020-15505,CRITICAL,1,2,4,1,2,True,FULL_LIFECYCLE,1.0,2.0
h68,CVE-2021-30609,CRITICAL,0,0,2,0,1,True,FULL_LIFECYCLE,1.0,1.0
h69,CVE-2021-23880,CRITICAL,1,1,2,0,1,True,FULL_LIFECYCLE,1.0,1.0
h7,CVE-2021-28150,HIGH,0,2,4,1,2,True,FULL_LIFECYCLE,0.75,1.5
h70,CVE-2020-14144,HIGH,2,3,6,1,2,False,EXPLOITED_UNPATCHED,0.75,1.5
h8,CVE-2020-11083,CRITICAL,0,1,2,0,1,True,FULL_LIFECYCLE,1.0,1.0
h9,CVE-2021-20294,HIGH,1,3,6,2,2,False,EXPLOITED_UNPATCHED,0.75,1.5
